tweet_id,text,response_tweet_id,in_response_to_tweet_id
61891," Thank you for confirming this, Austin. I'll have our support team look into this further. If you'd like us to look into a fee concern, feel free to DM your full name, phone number, and address. ^EB https://t.co/q1oBDuYAdh",,61892
61892, Yes,61891,61893
61893," Sorry for the inconvenience, Austin. Are you referring to the ATM in Gunter Ave? ^HE https://t.co/q1oBDuYAdh",61892,61894
61894, what’s the point of charging me to use other ATMs if your ATM at the Guntersville AL branch never works?????,61893,
61895," Sure, Let me see what I can do for you. ^RG",,61896
61896,  - can you please help on 17619527 - we cannot Salesforce to show MC BU's even after following instructions.,61895,
61897," Apologies for this mixup Samantha, Is there anything we can do to assist you further? ^RG",,61898
61898,who the hell is Sarah? https://t.co/JGzwfeIY3L,61897,
61899," Hi there! We'd be happy to help with this. Send us a tweet over at  when you get a chance!
 ^TJ",,61900
61900, Xbox One X releases on a public holiday in Victoria.  I pre-ordered from MS Store. Will it be delivered on the 7th?,61899,
61901," Hi there! We'd be happy to help with this. Send us a tweet over at  when you get a chance!
 ^TJ",,61902
61902,Broken Xbox and computer🙂,61901,
61903, team here on Twitter does not have direct insight into the game patch certification process.  2 ^ZM,,61904
61904, I appreciate the quick response.  Don't appreciate being left in the dark about why this patch isn't out yet.,"6,190,361,905",61906
61906," Hi there! We don't have any specific info for that, but keep an eye on https://t.co/1QSni2GOvR for any announcements :) ^BZ",61904,61907
61907, .   WWE 2K18 patch 1.03.  How soon is soon?,61906,
61905, We understand the frustration but we're afraid that's not something we can speculate on as our  1 ^ZM,61908,61904
61908, I don't mean to pester about this.  A lot of this is frustration on my part.,"6,190,961,910",61905
61909, 2K Support here: https://t.co/sWDXaCQIA4 for further clarification on this as well.  2 ^ZM,61911,61908
61911, i hope i haven't waited too long for a refund.  waited because assumed a patch would be available to Xbox One by now.,,61909
61910," No worries, we definitely understand. You may want to reach out to  1 ^ZM",,61908
61912," Hi there! What's the issue at hand with your controller? Send us a tweet over at  when you get a chance!
 ^TJ",61913,61914
61913," Constantly keeps losing connection even when plugged into the Xbox, left bumper button is broken and right on the d pad is also broken!",,61912
61914,"Twitter, anyone got a spare Xbox One controller they’d love to sell me? Mine is all kinds of fucked.",61912,
61915," Hi there! We'd be happy to help with this. Send us a tweet over at  when you get a chance!
 ^TJ",,61916
61916, for some reason it wont allow me to run on xbox plz fix the glitch,61915,
61917," Hi there! For any news on upcoming sales, be sure to keep an eye on https://t.co/1QSni2GOvR  ^TJ",,61918
61918, How about giving us halloween discount on games like mortal kombag xl like playstation did 😐,61917,61919
61919,"New #Xbox features in preview: Game gifting, improved setup experience, and much more. See what else at https://t.co/o3D7V2Ialv https://t.co/1mB20Ae6TB",61918,
61920, a DM: https://t.co/nPX1yNXCi5 with your gamertag and a detailed summary of the issue you're experiencing?  2 ^ZM,,61921
61921, It said I could receive a free copy of MC: W 10 edition. I redeemed the code. Nothing. Mojang said to contact Xbox support.,"6,192,061,922",
61922," Hi there, we'd like to help but could use more info. Can you please send us  1 ^ZM",,61921
61923," HI There, sure, may we have the email ID to apply the credit shell. -Prabu",,61924
61924," Hello, I want to change my fee to Credit shell.  because my flight FD5420 (booking number:MW1E6A) has been retimed.",61923,
61925," so sorry! Please DM me the store, receipt, barcode and your More Card / full address details so I can fix this. - Justine",,61926
61926,Great when you’re about to decorate your sister’s wedding cake but  sol you mouldy marzipan 😷 https://t.co/mBOzhUhQvg,61925,
61927, ... Telephone number so I can look into this? Thanks - Sammi,,46374
46374, I’ve signed up but haven’t received any points 🤷🏽‍♀️,"6,192,761,928",46372
61928," Hi Lauren, Can you please DM me to confirm your More card number, postcode, email address and ...",61929,46374
61929, Done x,,61928
61930," Hi, if you’re concerned, please tweet  with details. You can also  text 61016 or call 0800 40 50 40, thanks.",61931,61932
61931,  Thx,,61930
61932," if I wanted to go to a concert, I'd buy tickets! We don't need beggars on the tube!! https://t.co/EZ4yeTg7pO",61930,
61933," Hi Farah, it's not possible to use your pay as you go balance to buy a season ticket, sorry. Jo.",61934,61935
61934, How can I get my money back? I only use travel cards. My Oyster card only has a balance due to service delay refunds,,61933
61935, can I use the balance on my Oyster card to buy a travel card?,61933,
61936," 2/2  If you're travelling away from the station it will be charged as Zone 3 to 4/5/6 etc. I hope this makes sense. Thanks, Jo",61937,61938
61937, Yes makes sense how it works... but WHY has it been done this way? I understand how it works but just curious as to the logic behind it.,,61936
61938, why are these stations on 2/3 zone? Which zone are they in? Not urgent... just wondering why not clear. Thanks. https://t.co/qoFWHSRNtX,"6,193,661,939",
61939," 1/2 Hi Luke, the station will be in both zones. If you're travelling from Zone 1 to the station is will be charged as Zone 2.",,61938
61940," Hi Tom, please DM your oyster card number and email address. I will send you a link to reset your password. Thanks, ^Craig.",,61941
61941," hello, trying to access my account but password not working. Requested reset email and hasn't be sent through. Thoughts?",61940,
61942," Hello, Are you connected directly to the router?
^NHP",,61943
61943, Verizon is the worst as far as staying connected in a game for whole matches,"6,194,261,944",61945
61945,"I understand where you are coming from. If you could follow and DM  ,we can move into this with you. ^RMD","61,946,619,476,194,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",
61961," We don't send out alerts. However, you can register for notifications. You can check for any outages based on your account here. https://t.co/STIyLtXycS 
^JAY",,61962
61962," Residential. If its an outage in the hampton rds area, is it possible for you ti send out an alert?",61961,61963
61963, We can certainly take a look. Was this with home or cell services? ^RMD,61962,61964
61964, hey whats up with the service connection going in and out? Its quite annoying to have this happening. Reports from Virginia to NYC are experiencing connection issues. This isnt right. Please fix this.,61963,
61965, Please follow and DM  so we can dig into this for you. ^RMD,,61966
61966, Fios,61965,61967
61967,"  Brian we appreciate you reaching out to us about your NFL Red Zone questions. I'm curious is this for your wireless account or residential account? (Cellular, or Cable?) ^JJD",61966,
61968," If you still have the console and it's not powering on, this guide https://t.co/rhsLpNZvg8 should help. ^AK","6,196,961,970",61971
61969, Ok i did it and i need a receipt,,61968
61970," Thanks but I already looked at this, and it still is not working. So there is no way yall can send me another Xbox One S, I'll tell you which one i got.",61972,61968
61972," If you'd like to look into options for a repair/replacement, the page here: https://t.co/IatNbSdHCs has more info that can help you get started on that. ^QZ",61973,61970
61973," Please i beg you, please send me another Xbox One S. I bought it for my son but I doesnt even work.",61974,61972
61974," I'm afraid we wouldn't be able to send you a new console on our end. When you can, we recommend 1/2 ^TJ","61,975,619,766,197,700,000",61973
61975, Reaching out to the live chat team to explore some possible options https://t.co/lUV7XYl61S 2/2 ^TJ,61979,61974
61979, And why can you not send me a new xbox one s when the one i bought isnt working.,61980,61975
61980, The 1/2 &amp; 2/2 are just indicators of the first &amp; second part of a two part message. Contact the live chat team when you can! ^TJ,61981,61979
61981, How do I contact them?,61982,61980
61982, You should be able to connect with the live chat team or request a call back via the link here https://t.co/lUV7XYl61S  ^TJ,61983,61981
61983, Is there anyone who can send me a new Xbox One S?,,61982
61976, Whats the 1/2 and 2/2 things,,61974
61977," Well I contacted them, I still cant get it, and this is why PlayStation are having way more sells, I don't like PlayStations but if I cant get this Xbox One S, I might just go to Sony",,61974
61978, Can you send me someone that can send me another one,61984,61974
61984," Hi there! We don't have account access, let's make sure to reach out to our chat team: https://t.co/qSynA8s7TB ^CO",,61978
61971," So from a parent to a parent, can you please send a new one or get someone that can, you work for a company that can do amazing things",61968,61985
61985," I'm afraid we would not be able to help out with this here on Twitter. If you purchased the console with a credit or debit card, Walmart may be able to print you a copy of your receipt. However, you would still need the console. ^AK","6,197,161,986",61987
61987," Well I went to Wal Mart a little earlier, and they said i need the receipt, so are you sure there is no way to send me one, because obviously i just waisted almost 300 dollars",61985,61988
61988," Gotcha. Well unfortunately without the receipt or the console, I'm afraid that there little possibility that the retailer you purchased the console from can help. ^AK",61987,61989
61989, Like i had said earlier i had already threw tge receipt in the trash,61988,61990
61990, Sorry to hear that. I'm afraid we don't have any consoles to give out here on Twitter. You'd want to get the console and receipt back and return to the retailer to look into swapping out the console for a new one. ^AK,61989,61991
61991," I did all the things and it still wont turn on, i threw away the box and the receipt, it sounds stupid that i did that but i wasnt thinking, is there any way you guys could send me one, if so thanks.",61990,61992
61992, Sorry to hear! Can you try the steps here: https://t.co/rhsLpNZvg8 for that &amp; let us know how that goes?  ^QZ,61991,61993
61993,"Xbox One : Console https://t.co/eltKjxvzsU via . I'm a huge fan of you guys, and I really love microsoft so I'm not going to get mad at what happened. So I got a Xbox One S yesterday, and it was experiencing problems, at one point it wouldnt evem turn on.",61992,
61994," Strange. If you follow the steps here https://t.co/pMFsfjRTgk under ""Play your Xbox One Edition worlds on other devices"", does that help? ^AK",61995,61996
61995," That's what I tried. When i sync my world, which takes an hour, it gives me a 2 month old save instead of the one from a week ago. The file size goes from 150mb before sync to 124mb after sync. I don't understand what's going on.",61997,61994
61997, Gotcha. Would you be able to send us a direct message https://t.co/nPX1yNXCi5 with your Gamertag so we can gather more info?  ^JA,,61995
61996," My recent Minecraft saves don't show up on Xbox One X. It only loads older saves for the same world. They are fine on my classic Xbox One. Please help, thanks.",61994,
61998, Hello! Recommend trying the steps here: https://t.co/XPq5cvuDFo if you are getting slow game downloads.   ^RR,,61999
61999, the amount of time it takes to digitally download a game is absolutely unacceptable - 4 hours and not even at 50%. Help???¿¿¿,61998,
62000, Hello! Let's try the steps here: https://t.co/dhT6EHIX7u to get you connected to Xbox Live.  ^RR,,62001
62001, my xbox one will not let me connect online my NAT switches between open and unavailable.,62000,
62002, Hello! Would you mind letting us know your gamertag and what is going on exactly?  ^RR,62003,62004
62003, It’s EL1T3 HELLSAINT and I bought rainbow six siege year 2 gold edition and haven’t received my 600 in game credits,,62002
62004, I need help with a purchase,62002,
62005, Hello! You can sign into your account here: https://t.co/KwpDVOSrYz to manage your subscription.  ^RR,,62006
62006," Hi, how to turn off auto-renew for my Subscriptions?",62005,
62007, Is your fan turning on at all to try and cool the unit? ^CO,62008,62009
62008,  Hi just to let u know there is a group that said today they are going to hack u Xbox and ps4 on x-mas so no one can get on,,62007
62009," The original Xbox one from 2014, and yes it's in a well ventilated area it's on top of my desk.",62007,62010
62010," Which console version is this, and do you have the console in a well-ventilated area? ^CO",62009,62011
62011, When I play NBA 2K18 my Xbox overheats and turns off by itself.,62010,62012
62012, Hi there! Can you clarify what you mean by overheated? Are you hearing the fan turn on or is it powering down? ^CO,"6,201,162,013",62014
62014,  It's on top of my desk my TV is like 6 inches away from it besides that there is nothing around it,"6,201,562,012",62016
62016,"  that’s happened to me before just like go outside for a hour or two and come back and it should be fine. and move it away from things near it like walls, games, etc.","6,201,462,017",62018
62018,Xbox Overheated Twice In The Past 4 Minutes. ,"6,201,962,016",
62020, Hello! Would you mind letting us know what is going on exactly?  ^RR,"6,202,162,022",62023
62021, Whenever I start NBA 2k18 up and asked to create a MyPlayer and go to fill in the name the game freezes when attempting to pull up the keyboard,,62020
62022, Hello?,,62020
62023, I need help regarding in game keyboard freezing on Xbox one,62020,
62024," Hi there! Let's check out our guide here for this random console shut off issue that you're seeing https://t.co/TkHy1RwPAj
 ^TJ",62025,62026
62025, An ambassador helped me thanks,62027,62024
62027, Glad to hear! Have a great rest of your day.  ^RR,,62025
62026, why does my Xbox keep turning off by itself? There’s no timer setting for it and it’s not even hot. I played maximum for 2 hours so this is bullshit,62024,
62028, Thank you for that information. Let's try logging in and completing the purchase here: https://t.co/c2D83j2vac ^CO,,62029
62029, FIFA18,62028,62030
62030," Okay, what are you trying to make a payment for? ^RM",62029,
62031, Thanks for reaching out! Could you DM https://t.co/nPX1yNXCi5 us your Gamertag and a summary of what you're doing when you get this issue? ^JS,,62032
62032, hi! My Xbox one doesn’t start session. The internet connection it’s ok. What could be the problem?,62031,
62033, Hi there! Could you go through the steps here for this particular error https://t.co/8uXch0smfs ? ^JS,,62034
62034," Won't allow me to sign in, getting the error code 0x87DD0017, help me out yo",62033,
62035, Thanks for reaching out! Could you DM us your Gamertag and a screenshot of what you see when you log in here: https://t.co/KwpDVOSrYz ^JS,,62036
62036, I renewed my gold account 2 days ago with prepaid card and it won’t let me play online.  I have removed my account and power cycled 3 times.,62035,
62037, Hi there! What seems to be the issue? ^CO,62038,62039
62038," You suspend my Gold Subscription when this not expires yet, thats the issue",62040,62037
62040," Can you clarify what you mean, and DM us your gamertag? ^CO",,62038
62039,And you too 😡😡😡 ,62037,
62041," Excellent! Let's try the steps here, they should help: https://t.co/R9sR2ZQ6XM ^CO",62042,62043
62042, Still no good!,62044,62041
62044," Let's have you try reaching out to chat: https://t.co/aWWrMN54Vu support as they will be better equipped to assist you further.
 ^RR",,62042
62043, I have just checked via both USB and wireless - it says the controller is up to date.,62041,62045
62045, Hi there! Have you updated your new controller to use a charge and play kit yet? https://t.co/o5T27SOhLR ^CO,62043,62046
62046," Play and Charge kit not charging with new Xbox One X Controller - it works with a different, older style controller. How can I get it working with the new controller?",62045,
62047, Hi there! Thanks for reaching out to us. Can you DM us your gamertag and the game you're trying to play? ^CO,,62048
62048," 3rd Saturday in a row I can't play its the only night of the week I get too, can't return the fucking game either as bought digital copy, fucking piss taking cunts last game I buy from you wankers seriously thinking go from Xbox to ps4 never thought I'd say that b4 ",62047,62049
62049,"If you are getting Error Codes 1, 3, or 5, please try these steps to troubleshoot, and let us know if they work for you: https://t.co/B1C9anJ6Jv","620,506,204,862,051,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",
62082," Not a problem, let us know if the step helps with what you are seeing.  ^BL",,62083
62083, Will try when I️ get home. Thanks a million 👌,62082,62084
62084, https://t.co/c0rhsKO0Ni the console. Then sign back in and let us know if that same message shows up.  2 ^BL,"6,208,362,085",62086
62086, Is there something that I’ve missed or am doing wrong? Appreciate the help.,"6,208,462,087",62088
62088," hey guys, I’ve recently renewed my XBL subscription, however when I️ try and get on to WW2 I️ get a pop up prompting me to resubscribe, or an error saying it “is not currently available for my account”. Also says my sub wil review on 1/25.",62086,
62089, I hope we can one day! -Jen,,62090
62090,"Dear  ,
     Please invest in opening a store here in Hawaii.... I’m going through withdrawals!",62089,
62091, This is concerning to hear. Please let our team know at the link:  https://t.co/0f6pFdYU9j -Jen,62092,62093
62092, I just wrote to you ✌🏻✌🏻✌🏻,,62091
62093,Hey  I dont appreciate one of your employees making fun of me for having OCD ✌🏻✌🏻✌🏻✌🏻,62091,
62094, We agree. -Jen,,62095
62095,My friends don’t like  therefore i need new friends,62094,
62096, I'm so sorry about that. Did you let a manager know? -Jen,,62097
62097,"Dear Mr. Chipotle,

You forgot my drink and my guac #RUDE ",62096,
62098, It's a recent change. We still have crunchy corn taco shells though. -Jen,62099,62100
62099, Bummer,,62098
62100, when did y’all stop serving soft corn tortillas?,62098,
62101, I'm sorry you're sad they're gone. We still have crunchy corn taco shells though! -Jen,62102,62103
62102," Because I can’t flour tacos 🌮 😞 
I ll try crunchy ones 🙂",,62101
62103, Why did you kill corn shell tacos? I’m sad,62101,
62104, We're happy to give you more if you ask. -Jen,,62105
62105, really you only offer one lil lemon wedge for the monster burritos I be ordering. Lol guess I have to bring my own 🍋,62104,
62106, This is concerning. Please let our team know at the link:  https://t.co/0f6pFegv0R -Jen,,62107
62107, what is this.. this is again the 4th time i have found something at my bowl https://t.co/oR079eyWpG,62106,
62108," We had to raise prices just a tad, but we appreciate you being such a huge fan! -Jen",,62109
62109,never been more disappointed than when i found out my bowl at chipotle isn’t exactly $7.09 anymore ,62108,
62110, This is concerning. Please let our team know at the link:  https://t.co/0f6pFdYU9j -Jen,62111,62112
62111, I sent an email 2 hours ago.,,62110
62112,oh yeah there was an actual little pebble rock in my chipotle today.  https://t.co/Gu0AIzDyMl,62110,
62113, We really appreciate your suggestions and you being such a loyal fan! -Jen,,62114
62114," my previous tweets were not casual suggestions, they were requisite actions of a responsible public company.  Please do these things for the sake of 401ks everywhere.",62113,
62115, I'll follow up with our team on that. We shouldn't charge extra for anything but guac or meat/Sofritas. -Jen,,62116
62116," I did &amp; was charged extra for everything ""extra"" I ordered this was the 41st Ave location",62115,62117
62117, I'm sorry about that. Please don't hesitate to keep asking until your meal is perfect. -Jen,62116,62118
62118, soooo disappointed with the portions &amp; this was with asking for extra everything https://t.co/Ze0ba3uF83,62117,
62119, Yikes! I'm sorry about that. Do you mind reaching out to our team at the link?  https://t.co/0f6pFdYU9j -Jen,,62120
62120,"Ordered  online for the first time, and of all the mistakes they could make they put unrequested hot sauce on my bowl. Didn't notice til I took a big ass bite AND NOW WANT TO DIE.",62119,
62121, We love you too. -Jen,,62122
62122,I love  https://t.co/fudoOCaPvh,62121,
62123, This warms my heart. Want to make us some? -Jen,62124,62125
62124," YES!!!!!!!!! I have great ideas ! If someone could contact me, I’d LOVE to share ! #MistletoeAndBurritoBowls 🎅🏾🤶🏾🌯🌮",,62123
62125," 
Chipotle NEEDS Christmas ornaments !!!! Little porcelain burrito bowls , chip bags , their logo,  and burritos . 🙏🏾😍 🌯 🌮",62123,
62126, The best kind of Saturday night. -Jen,62127,62128
62127, We are goin back today this time twice burrito,,62126
62128,At  https://t.co/e23fuQPRHB,62126,
62129," アマゾンです。梱包についてご不快の念をおかけし申し訳ございません。特典に汚れなど問題があった場合は交換(可能な場合)または返品を承ります。お手続き方法はこちらをご参照ください。https://t.co/lKVdPx7kCr
今回の梱包の問題点については社内に報告させていただきます。ET",62130,62131
62130, とても楽しみにしていただけにこの梱包にはとてもショックでした。紙に直接だったためマスキングテープの痕がついておりますが返品すること自体が手間が掛かりますし面倒なので結構です。,62132,62129
62132," ご返信いただきありがとうございます。よろしければ、お客様より梱包についてのご意見を送っていただくことも可能でございますので、ご検討ください。https://t.co/8NbBsJgDaJ
重ねましてご迷惑をおかけしたことをお詫び申し上げます。ET",,62130
62131,"AmazonからめっぞCD届いたんだけどさ、
まじでこんな梱包してくる奴あるかよ！！！？！？
特典裏向きで直接テープ付けるか普通？！？！？袋ぐらい入れろよな
まじでありえないんだけど！！！！ https://t.co/wz6SxJBGf9",62129,
62133," ¡Hola, Grafo! ¿Has recibido el correo de confirmación del pedido completado? ^LC","6,213,462,135",62136
62134, pero ya se retiro el dinero del banco,62137,62133
62137," Grafo, aparte del correo de confirmación, recuerda que puedes verificar tu pedido en la sección de pedidos de tu cuenta, por favor utiliza este enlace: https://t.co/Agd9XY4LHC
^CB",62138,62134
62138, ya utilizamos esa opcion pero nos dise q estan preparando el envio,,62137
62135, no e recivido nada bueno esq el pedido lo hizo mi hijo xq tiene cuenta pero la tarjeta es mia  y asta ahorita no emos recivido ningun correo,62139,62133
62139," Comprendo Grafo. Siempre que se confirma una orden se envía al correo electrónico asociado a la cuenta donde se gestionó el pedido, un mensaje con los detalles. También es posible revisar desde tu cuenta los pedidos que están en curso:  https://t.co/ClQxjTNRb6  ^PC",62140,62135
62140, de echo pedimos unos audifonos pero pensabamos q no tenia muchos fondos y los cancelamos y yego el correo de cancelacion,62141,62139
62141," Grafo, en este caso ¿el pedido cancelado fue cobrado?. ^NB","62,142,621,436,214,400,000",62140
62142, xq de mi banco ya liberaron el pago de echo ya salio y en la pagina de amazon me sale q estan preparando mi envio,62146,62141
62146," Entiendo. Lo ideal sería revisar si el pedido se canceló correctamente ya que no contamos acceso a tu cuenta por este medio.
Por favor accede a este link: https://t.co/xB5m9TR1Ms
Puedes contactar a Soporte al Cliente para que revisen: https://t.co/beR78zMMYB
^FQ",62147,62142
62147, ok muchas gracias x su ayuda,62148,62146
62148, Con mucho gusto. ¡Buenas noches! ^AR,62149,62147
62149, gracias q tengan buena noche,,62148
62143, bueno esq pedimos dos cosas y cancelamos uno y de ese ya llego el correo de cancelacion yq me rembolsara mi dinero el 15 dias pero el otro no e tenido noticias y el banco me libero el dinero x el segundo aparato y es ese el q no se si ya lo recibió amazon,,62141
62144, ahora el msj q sale es q estan preparando el envio eso kiere decir q si esta mi pedido xq lo hize alas 12:15 y asta ahorita no recivo correo ni mensaje,62150,62141
62150," Hola Grafo,el pedido es cobrado hasta que es enviado. Antes de eso lo que puede que veas es una autorización,que se libera según las políticas de tu banco. Puedes contactarnos para verificar que el pedido esté cancelado si aún no lo está: https://t.co/beR78zMMYB ^JD",,62144
62145, si ese fue cobrado y en el correo disen q en 15 dias aviles me hacen el rembolso,,62141
62136, buenas noches esq ayer hicimos una compra pero me rechazo mi tarjeta xq no estaba liberada pero hize la operacion dos veces ahora ya se libero y ya salio el pago pero no se si ya se realizo la compra o como le ago para saber,62133,
62151," Hola, ¿has recibido algún otro correo de nuestros especialistas en cuentas? ^HC",,62152
62152, me pueden ayudar? ya hice lo que me pidieron 3 veces y mi acc sigue bloqueada :c solo quiero mi pedido,62151,
62153, Oh no! Have you tried some of our troubleshooting tips? Find them here: https://t.co/MXAlgErG8Z ^BA,62154,62155
62154," Yep. Reset the bulb it can’t find, tried bulb in different lamp, reset WiFi, brought new bulb. Still only 2 of 3 found...",62156,62153
62156, Hi Jason! I'm sorry for the trouble. Please reach out to us here so we can trouble shoot together: https://t.co/hApLpMlfHN^MO,,62154
62155," Hi. Echo+ won’t discover 1 of 3 hue bulbs. Have reset bulb twice, tried diff lamp, reset Echo &amp; 1 still won’t connect. Help?",62153,
62157," I'm sorry about the trouble with this! We'd like to help. Just to confirm, which Amazon marketplace did you order from? ^HC",62158,62159
62158, Amazon.ca,62160,62157
62160, Please reach out directly to us here: https://t.co/Q7Ftz6nj80 we'd like to take a closer look. ^TN,62161,62158
62161, Thank you,,62160
62159, Tuesday but i got an email saying it was delivered on monday and ive asked everyone in my household but they all confirmed nothing came in,62157,62162
62162, Hi im sending this message about a product i bought on saturday with two day shipping that said i was suppose to receive on,62159,
62163, I'm sorry your package was tossed! I'd like to report this to Amazon Logistics. Please give details: https://t.co/tDraNk7QeZ ^WJ,,62164
62164,"Despite the massive sticker on the box that says: EXPLODES INTO FLAMES IF DAMAGED, the  delivery dude still gave it a good toss. https://t.co/Y0OXVQC3wA",62163,
62165," Hi, ich weiß nicht, ob du es schon gesehen hast, aber die Folge ist online. :) Viele liebe Grüße ^SI",62166,62167
62166, Hab ich.. vielen Dank :),,62165
62167, Und wann OmU? ;) https://t.co/Vd7jAVNE5y hier ist nämlich nur bis 4 aufgeführt,"6,216,562,168",62169
62169," Hi, Folge  (in OV) ist bereits verfügbar, schau mal hier: https://t.co/2lLvBQv69T Gruß ^MI",62167,62170
62170, Ab wann ist denn Folge 5 der sechsten Staffel von  bei euch verfügbar? :),62169,
62171," Nos alegra saber que hemos podido brindarte asistencia, Suarez. Cuenta con nosotros siempre 😊  ^LG",,62172
62172, muchas gracias por resolver el problemilla que hubo con el envío. Así da gusto,62171,
62173," Hola, Buffy. Sin compartir el número de pedido, ¿podrías darnos más detalles de lo ocurrido? ^CR",62174,62175
